Position,Team,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points
1,Arsenal,38,26,7,5,71,27,44,85
2,Man City,38,23,9,6,77,35,42,78
3,Man United,38,20,11,7,69,50,19,71
4,Aston Villa,38,19,8,11,56,49,7,65
5,Liverpool,38,17,9,12,63,53,10,60
6,Bournemouth,38,13,18,7,58,54,4,57
7,Sunderland,38,14,12,12,42,48,-6,54
8,Brighton,38,14,11,13,52,46,6,53
9,Brentford,38,14,11,13,55,52,3,53
10,Chelsea,38,14,10,14,58,52,6,52
11,Fulham,38,15,7,16,47,51,-4,52
12,Newcastle,38,14,7,17,53,55,-2,49
13,Everton,38,13,10,15,47,50,-3,49
14,Leeds,38,11,14,13,49,56,-7,47
15,Crystal Palace,38,11,12,15,41,51,-10,45
16,Nott'm Forest,38,11,11,16,48,51,-3,44
17,Tottenham,38,10,11,17,48,57,-9,41
18,West Ham,38,10,9,19,46,65,-19,39
19,Burnley,38,4,10,24,38,75,-37,22
20,Wolves,38,3,11,24,27,68,-41,20
