team,matches,home_matches,away_matches,home_points_per_match,away_points_per_match,home_goals_per_match,away_goals_per_match,home_goals_conceded_per_match,away_goals_conceded_per_match,home_points_advantage,home_goal_advantage,home_defensive_advantage
Fulham,38,19,19,1.84,0.89,1.58,0.89,1.05,1.63,0.95,0.69,0.58
Leeds,38,19,19,1.68,0.79,1.53,1.05,1.11,1.84,0.89,0.48,0.73
Newcastle,38,19,19,1.68,0.89,1.89,0.89,1.58,1.32,0.79,1.00,-0.26
Brighton,38,19,19,1.74,1.05,1.58,1.16,1.05,1.37,0.69,0.42,0.32
Man United,38,19,19,2.21,1.53,2.05,1.58,1.26,1.37,0.68,0.47,0.11
Liverpool,38,19,19,1.89,1.26,1.79,1.53,1.05,1.74,0.63,0.26,0.69
Sunderland,38,19,19,1.74,1.11,1.32,0.89,1.05,1.47,0.63,0.43,0.42
Man City,38,19,19,2.37,1.74,2.37,1.68,0.74,1.11,0.63,0.69,0.37
Aston Villa,38,19,19,2.00,1.42,1.68,1.26,1.16,1.42,0.58,0.42,0.26
Brentford,38,19,19,1.68,1.11,1.74,1.16,1.11,1.63,0.57,0.58,0.52
Arsenal,38,19,19,2.47,2.00,2.16,1.58,0.58,0.84,0.47,0.58,0.26
Wolves,38,19,19,0.74,0.32,1.00,0.42,1.79,1.79,0.42,0.58,0.00
West Ham,38,19,19,1.16,0.89,1.42,1.00,1.58,1.84,0.27,0.42,0.26
Bournemouth,38,19,19,1.63,1.37,1.53,1.53,1.05,1.79,0.26,0.00,0.74
Burnley,38,19,19,0.68,0.47,0.95,1.05,1.53,2.42,0.21,-0.10,0.89
Chelsea,38,19,19,1.37,1.37,1.37,1.68,1.32,1.42,0.00,-0.31,0.10
Crystal Palace,38,19,19,1.11,1.26,1.00,1.16,1.21,1.47,-0.15,-0.16,0.26
Everton,38,19,19,1.21,1.37,1.37,1.11,1.42,1.21,-0.16,0.26,-0.21
Nott'm Forest,38,19,19,1.05,1.26,1.05,1.47,1.21,1.47,-0.21,-0.42,0.26
Tottenham,38,19,19,0.79,1.37,1.16,1.37,1.63,1.37,-0.58,-0.21,-0.26
