team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,position
Arsenal,38,26,7,5,71,27,44,85,1
Man City,38,23,9,6,77,35,42,78,2
Man United,38,20,11,7,69,50,19,71,3
Aston Villa,38,19,8,11,56,49,7,65,4
Liverpool,38,17,9,12,63,53,10,60,5
Bournemouth,38,13,18,7,58,54,4,57,6
Sunderland,38,14,12,12,42,48,-6,54,7
Brighton,38,14,11,13,52,46,6,53,8
Brentford,38,14,11,13,55,52,3,53,9
Chelsea,38,14,10,14,58,52,6,52,10
Fulham,38,15,7,16,47,51,-4,52,11
Newcastle,38,14,7,17,53,55,-2,49,12
Everton,38,13,10,15,47,50,-3,49,13
Leeds,38,11,14,13,49,56,-7,47,14
Crystal Palace,38,11,12,15,41,51,-10,45,15
Nott'm Forest,38,11,11,16,48,51,-3,44,16
Tottenham,38,10,11,17,48,57,-9,41,17
West Ham,38,10,9,19,46,65,-19,39,18
Burnley,38,4,10,24,38,75,-37,22,19
Wolves,38,3,11,24,27,68,-41,20,20
