team,played,goals_per_match,goals_conceded_per_match,shots_per_match,shots_on_target_per_match,shot_accuracy,goal_conversion,attacking_rank,defensive_rank,conversion_rank
Man City,38,2.03,0.92,15.66,5.39,0.345,0.129,1,2,2
Arsenal,38,1.87,0.71,14.53,4.89,0.337,0.129,2,1,2
Man United,38,1.82,1.32,15.68,5.68,0.362,0.116,3,6,4
Liverpool,38,1.66,1.39,15.47,4.61,0.298,0.107,4,13,12
Bournemouth,38,1.53,1.42,13.82,4.68,0.339,0.110,5,14,9
Chelsea,38,1.53,1.37,13.45,4.32,0.321,0.114,5,11,6
Aston Villa,38,1.47,1.29,12.71,4.47,0.352,0.116,7,5,4
Brentford,38,1.45,1.37,10.66,3.87,0.363,0.136,8,11,1
Newcastle,38,1.39,1.45,12.95,4.63,0.358,0.108,9,15,11
Brighton,38,1.37,1.21,13.03,4.63,0.356,0.105,10,3,15
Leeds,38,1.29,1.47,12.58,3.97,0.316,0.103,11,16,16
Nott'm Forest,38,1.26,1.34,12.53,4.11,0.328,0.101,12,8,17
Tottenham,38,1.26,1.50,11.47,3.95,0.344,0.110,12,17,9
Fulham,38,1.24,1.34,12.66,3.63,0.287,0.098,14,8,18
Everton,38,1.24,1.32,11.05,3.79,0.343,0.112,14,6,8
West Ham,38,1.21,1.71,10.63,3.74,0.351,0.114,16,18,6
Sunderland,38,1.11,1.26,10.39,3.32,0.319,0.106,17,4,14
Crystal Palace,38,1.08,1.34,11.63,3.71,0.319,0.093,18,8,19
Burnley,38,1.00,1.97,9.34,3.11,0.332,0.107,19,20,12
Wolves,38,0.71,1.79,9.74,3.24,0.332,0.073,20,19,20
