Position,Team,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,GoalsPerMatch,GoalsConcededPerMatch,GoalDifferencePerMatch
1,Arsenal,38,26,7,5,71,27,44,85,1.868421052631579,0.7105263157894737,1.1578947368421053
2,Man City,38,23,9,6,77,35,42,78,2.026315789473684,0.9210526315789473,1.1052631578947367
3,Man United,38,20,11,7,69,50,19,71,1.8157894736842106,1.3157894736842106,0.5
4,Aston Villa,38,19,8,11,56,49,7,65,1.4736842105263157,1.2894736842105263,0.18421052631578938
5,Liverpool,38,17,9,12,63,53,10,60,1.6578947368421053,1.394736842105263,0.26315789473684226
6,Bournemouth,38,13,18,7,58,54,4,57,1.5263157894736843,1.4210526315789473,0.10526315789473695
7,Sunderland,38,14,12,12,42,48,-6,54,1.105263157894737,1.263157894736842,-0.1578947368421051
8,Brighton,38,14,11,13,52,46,6,53,1.368421052631579,1.2105263157894737,0.1578947368421053
9,Brentford,38,14,11,13,55,52,3,53,1.4473684210526316,1.368421052631579,0.07894736842105265
10,Chelsea,38,14,10,14,58,52,6,52,1.5263157894736843,1.368421052631579,0.1578947368421053
11,Fulham,38,15,7,16,47,51,-4,52,1.236842105263158,1.3421052631578947,-0.10526315789473673
12,Newcastle,38,14,7,17,53,55,-2,49,1.394736842105263,1.4473684210526316,-0.052631578947368585
13,Everton,38,13,10,15,47,50,-3,49,1.236842105263158,1.3157894736842106,-0.07894736842105265
14,Leeds,38,11,14,13,49,56,-7,47,1.2894736842105263,1.4736842105263157,-0.18421052631578938
15,Crystal Palace,38,11,12,15,41,51,-10,45,1.0789473684210527,1.3421052631578947,-0.26315789473684204
16,Nott'm Forest,38,11,11,16,48,51,-3,44,1.263157894736842,1.3421052631578947,-0.07894736842105265
17,Tottenham,38,10,11,17,48,57,-9,41,1.263157894736842,1.5,-0.23684210526315796
18,West Ham,38,10,9,19,46,65,-19,39,1.2105263157894737,1.7105263157894737,-0.5
19,Burnley,38,4,10,24,38,75,-37,22,1.0,1.9736842105263157,-0.9736842105263157
20,Wolves,38,3,11,24,27,68,-41,20,0.7105263157894737,1.7894736842105263,-1.0789473684210527
